2022-11-25, 11:25:26.464566, 215000000, 220000000, 1000000.00, 20, -66.61, -73.67, -62.78, -58.39, -61.17
2022-11-25, 11:25:26.464566, 210000000, 215000000, 1000000.00, 20, -69.90, -71.34, -74.43, -73.32, -71.40
2022-11-25, 11:25:26.464566, 220000000, 225000000, 1000000.00, 20, -58.99, -68.26, -72.11, -66.60, -59.51
2022-11-25, 11:25:26.464566, 225000000, 230000000, 1000000.00, 20, -63.68, -58.17, -56.69, -57.35, -64.33
2022-11-25, 11:25:26.464566, 235000000, 240000000, 1000000.00, 20, -64.23, -64.15, -67.69, -73.25, -71.28
2022-11-25, 11:25:26.464566, 230000000, 235000000, 1000000.00, 20, -63.77, -71.77, -62.95, -60.83, -64.48
2022-11-25, 11:25:26.464566, 240000000, 245000000, 1000000.00, 20, -67.88, -76.43, -68.54, -63.73, -60.67
hackrf_sweep | rx_callback() | Data Caught. Iteration 2 finished
2022-11-25, 11:25:26.680813, 45000000, 50000000, 1000000.00, 20, -61.43, -57.89, -62.27, -71.58, -62.34
2022-11-25, 11:25:26.680813, 55000000, 60000000, 1000000.00, 20, -63.21, -62.64, -61.24, -54.20, -45.07
2022-11-25, 11:25:26.680813, 50000000, 55000000, 1000000.00, 20, -68.05, -66.66, -68.59, -59.54, -60.10
2022-11-25, 11:25:26.680813, 60000000, 65000000, 1000000.00, 20, -89.05, -62.80, -57.69, -61.70, -71.52
2022-11-25, 11:25:26.680813, 65000000, 70000000, 1000000.00, 20, -59.70, -66.19, -60.70, -63.57, -67.32
2022-11-25, 11:25:26.680813, 75000000, 80000000, 1000000.00, 20, -71.75, -65.11, -62.15, -62.94, -60.71
2022-11-25, 11:25:26.680813, 70000000, 75000000, 1000000.00, 20, -61.03, -61.58, -59.88, -62.99, -63.73
2022-11-25, 11:25:26.680813, 80000000, 85000000, 1000000.00, 20, -54.14, -60.38, -66.04, -62.08, -60.71
2022-11-25, 11:25:26.680813, 85000000, 90000000, 1000000.00, 20, -59.76, -60.46, -65.51, -62.67, -59.22
2022-11-25, 11:25:26.680813, 95000000, 100000000, 1000000.00, 20, -53.21, -63.17, -55.86, -57.31, -63.84
2022-11-25, 11:25:26.680813, 90000000, 95000000, 1000000.00, 20, -58.63, -63.47, -69.17, -65.86, -65.90
2022-11-25, 11:25:26.680813, 100000000, 105000000, 1000000.00, 20, -66.61, -62.89, -62.23, -67.46, -64.00
2022-11-25, 11:25:26.680813, 105000000, 110000000, 1000000.00, 20, -37.07, -46.59, -68.52, -63.94, -56.21
2022-11-25, 11:25:26.680813, 115000000, 120000000, 1000000.00, 20, -67.74, -90.97, -65.11, -72.73, -57.61
2022-11-25, 11:25:26.680813, 110000000, 115000000, 1000000.00, 20, -55.90, -58.36, -69.27, -67.33, -65.85
2022-11-25, 11:25:26.680813, 120000000, 125000000, 1000000.00, 20, -50.06, -58.32, -62.42, -65.02, -68.03
2022-11-25, 11:25:26.700392, 125000000, 130000000, 1000000.00, 20, -43.35, -44.65, -55.41, -49.78, -37.64
2022-11-25, 11:25:26.700392, 135000000, 140000000, 1000000.00, 20, -59.66, -58.97, -59.43, -55.47, -56.88
2022-11-25, 11:25:26.700392, 130000000, 135000000, 1000000.00, 20, -16.76, -29.09, -50.71, -41.73, -44.63
2022-11-25, 11:25:26.700392, 140000000, 145000000, 1000000.00, 20, -59.39, -63.58, -59.33, -63.04, -61.82
2022-11-25, 11:25:26.700392, 145000000, 150000000, 1000000.00, 20, -56.14, -45.26, -36.87, -18.12, -5.94
2022-11-25, 11:25:26.700392, 155000000, 160000000, 1000000.00, 20, -57.09, -58.74, -44.65, -29.83, -17.25
2022-11-25, 11:25:26.700392, 150000000, 155000000, 1000000.00, 20, -6.07, -18.23, -37.49, -45.38, -51.70
2022-11-25, 11:25:26.700392, 160000000, 165000000, 1000000.00, 20, -19.41, -31.96, -44.82, -80.92, -54.86
2022-11-25, 11:25:26.700392, 165000000, 170000000, 1000000.00, 20, -62.33, -75.70, -59.17, -56.41, -56.66
2022-11-25, 11:25:26.700392, 175000000, 180000000, 1000000.00, 20, -79.35, -63.43, -68.88, -69.41, -69.69
2022-11-25, 11:25:26.700392, 170000000, 175000000, 1000000.00, 20, -64.37, -59.73, -61.02, -65.57, -69.91
2022-11-25, 11:25:26.700392, 180000000, 185000000, 1000000.00, 20, -79.34, -75.86, -69.02, -63.38, -70.70
2022-11-25, 11:25:26.700392, 185000000, 190000000, 1000000.00, 20, -22.12, -21.51, -32.68, -50.58, -57.01
2022-11-25, 11:25:26.700392, 195000000, 200000000, 1000000.00, 20, -70.33, -63.74, -68.79, -64.46, -62.15
2022-11-25, 11:25:26.700392, 190000000, 195000000, 1000000.00, 20, -71.52, -59.63, -61.57, -70.13, -63.99
2022-11-25, 11:25:26.700392, 200000000, 205000000, 1000000.00, 20, -58.36, -52.92, -56.14, -60.94, -62.49
2022-11-25, 11:25:26.700392, 205000000, 210000000, 1000000.00, 20, -62.46, -50.86, -50.72, -63.16, -71.84
2022-11-25, 11:25:26.700392, 215000000, 220000000, 1000000.00, 20, -70.02, -66.45, -64.90, -64.91, -58.47
2022-11-25, 11:25:26.700392, 210000000, 215000000, 1000000.00, 20, -55.92, -63.20, -69.34, -61.37, -63.05
2022-11-25, 11:25:26.700392, 220000000, 225000000, 1000000.00, 20, -62.43, -63.48, -68.38, -72.42, -63.71
2022-11-25, 11:25:26.700392, 225000000, 230000000, 1000000.00, 20, -63.21, -60.50, -62.91, -67.12, -66.11
2022-11-25, 11:25:26.700392, 235000000, 240000000, 1000000.00, 20, -65.05, -72.30, -60.35, -60.83, -65.98
2022-11-25, 11:25:26.700392, 230000000, 235000000, 1000000.00, 20, -57.08, -55.31, -58.27, -66.10, -70.75
2022-11-25, 11:25:26.700392, 240000000, 245000000, 1000000.00, 20, -63.50, -65.15, -70.32, -66.09, -72.43
hackrf_sweep | rx_callback() | Data Caught. Iteration 3 finished
2022-11-25, 11:25:26.936318, 45000000, 50000000, 1000000.00, 20, -66.62, -68.68, -61.13, -59.32, -69.14
2022-11-25, 11:25:26.936318, 55000000, 60000000, 1000000.00, 20, -63.50, -65.34, -68.83, -55.02, -45.05
2022-11-25, 11:25:26.936318, 50000000, 55000000, 1000000.00, 20, -74.35, -77.75, -69.59, -73.09, -68.33
2022-11-25, 11:25:26.936318, 60000000, 65000000, 1000000.00, 20, -61.75, -62.12, -62.28, -64.35, -65.31
2022-11-25, 11:25:26.936318, 65000000, 70000000, 1000000.00, 20, -75.72, -62.30, -58.60, -61.12, -62.92
2022-11-25, 11:25:26.936318, 75000000, 80000000, 1000000.00, 20, -75.27, -77.56, -79.16, -64.63, -57.77
2022-11-25, 11:25:26.936318, 70000000, 75000000, 1000000.00, 20, -70.83, -67.56, -64.94, -64.37, -71.40
2022-11-25, 11:25:26.936318, 80000000, 85000000, 1000000.00, 20, -57.40, -58.64, -60.80, -61.97, -65.20
2022-11-25, 11:25:26.936318, 85000000, 90000000, 1000000.00, 20, -68.47, -66.85, -66.75, -64.86, -66.29
2022-11-25, 11:25:26.936318, 95000000, 100000000, 1000000.00, 20, -54.22, -72.07, -61.06, -62.49, -63.27
2022-11-25, 11:25:26.936318, 90000000, 95000000, 1000000.00, 20, -62.01, -81.50, -70.42, -78.95, -70.76
2022-11-25, 11:25:26.936318, 100000000, 105000000, 1000000.00, 20, -60.19, -61.61, -60.27, -60.98, -70.66
2022-11-25, 11:25:26.936318, 105000000, 110000000, 1000000.00, 20, -37.73, -48.61, -64.83, -65.95, -66.01
2022-11-25, 11:25:26.936318, 115000000, 120000000, 1000000.00, 20, -72.19, -60.82, -62.84, -62.63, -62.16
2022-11-25, 11:25:26.936318, 110000000, 115000000, 1000000.00, 20, -64.18, -63.63, -64.07, -67.65, -69.71
2022-11-25, 11:25:26.936318, 120000000, 125000000, 1000000.00, 20, -58.80, -68.39, -57.88, -59.04, -65.72
2022-11-25, 11:25:26.936318, 125000000, 130000000, 1000000.00, 20, -43.71, -44.61, -58.47, -48.50, -37.58
2022-11-25, 11:25:26.936318, 135000000, 140000000, 1000000.00, 20, -68.41, -74.62, -65.80, -57.63, -60.84
2022-11-25, 11:25:26.936318, 130000000, 135000000, 1000000.00, 20, -16.70, -28.84, -43.53, -45.13, -43.70
2022-11-25, 11:25:26.936318, 140000000, 145000000, 1000000.00, 20, -64.20, -62.73, -60.73, -59.61, -58.53
2022-11-25, 11:25:26.936318, 145000000, 150000000, 1000000.00, 20, -49.95, -47.91, -35.55, -18.12, -5.76
2022-11-25, 11:25:26.936318, 155000000, 160000000, 1000000.00, 20, -51.80, -51.41, -47.34, -26.96, -15.00
2022-11-25, 11:25:26.936318, 150000000, 155000000, 1000000.00, 20, -6.12, -18.29, -36.65, -45.56, -55.39
2022-11-25, 11:25:26.936318, 160000000, 165000000, 1000000.00, 20, -21.03, -33.30, -48.55, -54.25, -59.10
2022-11-25, 11:25:26.936318, 165000000, 170000000, 1000000.00, 20, -60.40, -80.08, -75.04, -66.62, -74.40
2022-11-25, 11:25:26.936318, 175000000, 180000000, 1000000.00, 20, -66.24, -58.91, -60.69, -72.31, -63.01
2022-11-25, 11:25:26.936318, 170000000, 175000000, 1000000.00, 20, -68.06, -66.31, -66.55, -63.08, -58.68
2022-11-25, 11:25:26.936318, 180000000, 185000000, 1000000.00, 20, -58.27, -64.41, -66.62, -63.57, -76.26
2022-11-25, 11:25:26.936318, 185000000, 190000000, 1000000.00, 20, -22.23, -21.52, -32.52, -54.84, -59.02
2022-11-25, 11:25:26.936318, 195000000, 200000000, 1000000.00, 20, -69.12, -59.14, -58.96, -63.11, -64.09
2022-11-25, 11:25:26.936318, 190000000, 195000000, 1000000.00, 20, -64.60, -62.23, -59.75, -62.04, -80.64
2022-11-25, 11:25:26.936318, 200000000, 205000000, 1000000.00, 20, -60.78, -59.53, -60.19, -57.80, -57.17
2022-11-25, 11:25:26.956114, 205000000, 210000000, 1000000.00, 20, -71.75, -52.34, -49.68, -60.16, -65.98
2022-11-25, 11:25:26.956114, 215000000, 220000000, 1000000.00, 20, -69.13, -71.79, -60.97, -63.32, -64.02
2022-11-25, 11:25:26.956114, 210000000, 215000000, 1000000.00, 20, -58.89, -67.36, -65.65, -70.73, -65.16
2022-11-25, 11:25:26.956114, 220000000, 225000000, 1000000.00, 20, -64.21, -61.84, -64.53, -70.23, -69.49
2022-11-25, 11:25:26.956114, 225000000, 230000000, 1000000.00, 20, -61.63, -62.33, -66.63, -60.38, -59.07
2022-11-25, 11:25:26.956114, 235000000, 240000000, 1000000.00, 20, -58.45, -61.98, -62.11, -66.04, -71.81
2022-11-25, 11:25:26.956114, 230000000, 235000000, 1000000.00, 20, -72.51, -62.39, -63.00, -68.97, -67.93
2022-11-25, 11:25:26.956114, 240000000, 245000000, 1000000.00, 20, -67.84, -64.25, -67.00, -62.52, -57.53
hackrf_sweep | rx_callback() | Data Caught. Iteration 4 finished
2022-11-25, 11:25:27.191971, 45000000, 50000000, 1000000.00, 20, -57.78, -57.67, -57.87, -64.59, -67.85
2022-11-25, 11:25:27.191971, 55000000, 60000000, 1000000.00, 20, -69.54, -61.98, -59.18, -52.53, -45.00
2022-11-25, 11:25:27.191971, 50000000, 55000000, 1000000.00, 20, -59.56, -56.00, -59.43, -63.94, -58.19
2022-11-25, 11:25:27.191971, 60000000, 65000000, 1000000.00, 20, -66.02, -61.59, -68.51, -63.27, -57.92
2022-11-25, 11:25:27.191971, 65000000, 70000000, 1000000.00, 20, -62.58, -62.57, -62.35, -64.62, -57.21
2022-11-25, 11:25:27.191971, 75000000, 80000000, 1000000.00, 20, -78.62, -76.09, -65.68, -60.37, -66.47
2022-11-25, 11:25:27.191971, 70000000, 75000000, 1000000.00, 20, -68.62, -65.66, -68.79, -69.73, -61.12
2022-11-25, 11:25:27.191971, 80000000, 85000000, 1000000.00, 20, -60.71, -66.54, -70.21, -66.59, -68.53
2022-11-25, 11:25:27.211660, 85000000, 90000000, 1000000.00, 20, -62.38, -59.62, -59.81, -60.11, -71.98
2022-11-25, 11:25:27.211660, 95000000, 100000000, 1000000.00, 20, -55.84, -61.11, -54.19, -54.15, -60.77
2022-11-25, 11:25:27.211660, 90000000, 95000000, 1000000.00, 20, -58.88, -63.03, -70.84, -67.27, -66.86
2022-11-25, 11:25:27.211660, 100000000, 105000000, 1000000.00, 20, -66.84, -65.83, -65.65, -67.25, -80.11
2022-11-25, 11:25:27.211660, 105000000, 110000000, 1000000.00, 20, -34.86, -46.43, -58.69, -62.06, -63.59
2022-11-25, 11:25:27.211660, 115000000, 120000000, 1000000.00, 20, -60.92, -63.98, -76.77, -73.47, -63.44
2022-11-25, 11:25:27.211660, 110000000, 115000000, 1000000.00, 20, -60.27, -61.22, -65.85, -71.14, -72.55
2022-11-25, 11:25:27.211660, 120000000, 125000000, 1000000.00, 20, -49.57, -59.68, -78.13, -64.09, -69.98
2022-11-25, 11:25:27.211660, 125000000, 130000000, 1000000.00, 20, -43.41, -44.56, -71.67, -51.64, -37.84
2022-11-25, 11:25:27.211660, 135000000, 140000000, 1000000.00, 20, -58.00, -62.20, -68.61, -61.08, -62.61
2022-11-25, 11:25:27.211660, 130000000, 135000000, 1000000.00, 20, -16.73, -28.73, -49.20, -42.96, -43.61
2022-11-25, 11:25:27.211660, 140000000, 145000000, 1000000.00, 20, -55.16, -64.89, -60.86, -61.34, -53.44
2022-11-25, 11:25:27.211660, 145000000, 150000000, 1000000.00, 20, -55.81, -46.34, -35.70, -17.71, -5.46
2022-11-25, 11:25:27.211660, 155000000, 160000000, 1000000.00, 20, -55.27, -52.13, -43.10, -25.35, -13.12
2022-11-25, 11:25:27.211660, 150000000, 155000000, 1000000.00, 20, -6.12, -18.26, -36.31, -46.65, -54.67
2022-11-25, 11:25:27.211660, 160000000, 165000000, 1000000.00, 20, -21.62, -34.44, -49.14, -60.17, -60.94
2022-11-25, 11:25:27.211660, 165000000, 170000000, 1000000.00, 20, -62.88, -57.69, -61.79, -80.79, -75.57
2022-11-25, 11:25:27.211660, 175000000, 180000000, 1000000.00, 20, -60.41, -63.68, -67.12, -70.86, -65.81
2022-11-25, 11:25:27.211660, 170000000, 175000000, 1000000.00, 20, -63.17, -86.09, -63.21, -59.34, -59.45
2022-11-25, 11:25:27.211660, 180000000, 185000000, 1000000.00, 20, -67.41, -61.30, -60.28, -65.76, -76.35
2022-11-25, 11:25:27.211660, 185000000, 190000000, 1000000.00, 20, -22.17, -21.60, -32.78, -55.20, -60.54
2022-11-25, 11:25:27.211660, 195000000, 200000000, 1000000.00, 20, -71.71, -88.88, -70.78, -65.69, -70.27
2022-11-25, 11:25:27.211660, 190000000, 195000000, 1000000.00, 20, -66.52, -62.18, -66.07, -67.77, -66.69
2022-11-25, 11:25:27.211660, 200000000, 205000000, 1000000.00, 20, -62.01, -55.83, -52.33, -53.92, -63.05
2022-11-25, 11:25:27.211660, 205000000, 210000000, 1000000.00, 20, -68.57, -50.55, -49.26, -58.09, -60.25
2022-11-25, 11:25:27.211660, 215000000, 220000000, 1000000.00, 20, -73.41, -74.37, -67.21, -58.95, -62.85
2022-11-25, 11:25:27.211660, 210000000, 215000000, 1000000.00, 20, -63.52, -65.50, -63.84, -68.07, -66.90
2022-11-25, 11:25:27.211660, 220000000, 225000000, 1000000.00, 20, -59.77, -61.12, -65.68, -67.24, -61.80
2022-11-25, 11:25:27.211660, 225000000, 230000000, 1000000.00, 20, -74.42, -69.21, -65.28, -77.08, -66.28
2022-11-25, 11:25:27.211660, 235000000, 240000000, 1000000.00, 20, -62.69, -67.88, -69.57, -62.56, -59.75
2022-11-25, 11:25:27.211660, 230000000, 235000000, 1000000.00, 20, -67.22, -68.74, -69.24, -62.87, -58.13
2022-11-25, 11:25:27.211660, 240000000, 245000000, 1000000.00, 20, -62.62, -74.93, -66.12, -70.20, -66.14
hackrf_sweep | rx_callback() | Data Caught. Iteration 5 finished
hackrf_sweep() | checkStreaming() | Checking streaming status
hackrf_sweep() | checkStreaming() | Execution Success
hackrf_sweep | All triggering actions(5) where completed
	Total duration: 0.00 s ||	 Total sweep time : 0.30 s ||	 sweepingTime/totalDuration: inf%
generationFits | checkSavedData() | Start checking saved times data to generate fits file
generationFits | checkSavedData() | Start checking saved power sample data to generate fits file
generationFits | checkSavedData() | Execution Sucess
hackrf_sweep | endConnection() | Ending connection with HackRF One
hackrf_sweep | endConnection() | hackrf_close() done
hackrf_sweep | endConnection() | hackrf_exit() done
hackrf_sweep | endConnection() | Execution Success
